"DATE","Quantity"
"2020-11-28",1195.8300000000002
"2020-11-29",1531.0700000000002
"2020-11-30",60867.609999999884
"2020-12-01",64138.39000000003
"2020-12-02",64665.90999999993
"2020-12-03",62432.420000000006
"2020-12-04",55345.9299999999
"2020-12-05",1459.5400000000002
"2020-12-06",1517.8
"2020-12-07",57431.20999999997
"2020-12-08",60439.28669999978
"2020-12-09",62718.89799999998
"2020-12-10",59052.54000000012
"2020-12-11",54625.97999999998
"2020-12-12",2398.640000000001
"2020-12-14",56218.15999999999
"2020-12-15",67223.07
"2020-12-16",63410.01999999991
"2020-12-17",57757.00000000004
"2020-12-18",40839.28000000008
"2020-12-19",796.6399999999998
"2020-12-20",0.03
"2020-12-21",32664.729999999927
"2020-12-22",28718.439999999973
"2020-12-23",8955.670000000004
"2020-12-24",1193.18
"2020-12-29",3919.0600000000004
"2020-12-30",3991.0499999999997
"2020-12-31",1509.8
"2021-01-04",7042.390000000003
"2021-01-05",34573.13999999991
"2021-01-06",36944.68629999999
"2021-01-07",41632.06000000003
"2021-01-08",36450.6517
"2021-01-09",273.32
"2021-01-10",1531.84
"2021-01-11",52325.170000000006
"2021-01-12",56801.67999999998
"2021-01-13",52650.46589999998
"2021-01-14",47402.81199999997
"2021-01-15",41244.34
"2021-01-16",1761.5300000000004
"2021-01-18",55587.65999999997
"2021-01-19",53951.14269999985
"2021-01-20",54181.94
"2021-01-21",45198.329999999965
"2021-01-22",47415.169999999955
"2021-01-23",851.8600000000002
"2021-01-25",40128.91000000001
"2021-01-26",48845.14999999998
"2021-01-27",49975.97999999993
"2021-01-28",53701.10999999996
"2021-01-29",51491.24000000006
"2021-01-30",775.0199999999998
"2021-01-31",1526.01
"2021-02-01",59211.76599999996
"2021-02-02",52226.86000000007
"2021-02-03",56900.909999999916
"2021-02-04",57292.09000000014
"2021-02-05",54820.43
"2021-02-06",1143.8600000000001
"2021-02-07",1541.7
"2021-02-08",45210.029999999926
"2021-02-09",37672.91000000003
"2021-02-10",32180.42000000001
"2021-02-11",39602.30999999984
"2021-02-12",36775.199999999975
"2021-02-13",997.08
"2021-02-14",1486.8
"2021-02-15",48566.809999999896
"2021-02-16",52730.9099999998
"2021-02-17",58470.85999999999
"2021-02-18",57102.22
"2021-02-19",57351.65000000005
"2021-02-20",1279.0000000000005
"2021-02-22",57686.13999999988
"2021-02-23",58880.36999999992
"2021-02-24",62077.53000000004
"2021-02-25",61506.22200000012
"2021-02-26",54942.29100000002
"2021-02-27",1582.7499999999995
"2021-02-28",1523.6599999999999
"2021-03-01",54663.77000000003
"2021-03-02",60208.849999999926
"2021-03-03",61698.7839999999
"2021-03-04",64662.210000000094
"2021-03-05",53909.29099999993
"2021-03-06",1685.4200000000005
"2021-03-07",1525.1000000000001
"2021-03-08",66713.62199999997
"2021-03-09",67045.42999999977
"2021-03-10",64308.72999999999
"2021-03-11",61788.779999999904
"2021-03-12",56500.599999999904
"2021-03-13",2280.100000000001
"2021-03-14",1520
"2021-03-15",62685.47299999992
"2021-03-16",66238.36999999985
"2021-03-17",64011.14999999997
"2021-03-18",67218.50999999997
"2021-03-19",61414.90100000003
"2021-03-20",3713.539999999999
"2021-03-21",3050.3
"2021-03-22",63020.28999999992
"2021-03-23",65097.42999999985
"2021-03-24",64746.51999999986
"2021-03-25",66742.43999999987
"2021-03-26",62399.670999999915
"2021-03-27",2381.120000000001
"2021-03-28",2900.2
"2021-03-29",63979.550000000025
"2021-03-30",65442.12999999983
"2021-04-01",64030.72999999995
"2021-04-02",17919.33
"2021-04-03",170.22
"2021-04-04",1371.5
"2021-04-05",9548.880000000006
"2021-04-06",62077.180000000175
"2021-04-07",58751.220000000016
"2021-04-08",58423.52999999993
"2021-04-09",59134.470000000016
"2021-04-10",3537.38
"2021-04-11",2906.5299999999997
"2021-04-12",62614.53999999996
"2021-04-13",64278.89000000001
"2021-04-14",62659.19999999993
"2021-04-15",63359.49999999979
"2021-04-16",61063.389999999985
"2021-04-17",4638.159999999998
"2021-04-18",3036.1
"2021-04-19",64326.869999999806
"2021-04-20",59244.769999999946
"2021-04-21",66093.09999999998
"2021-04-22",60712.27999999999
"2021-04-23",59436.79999999993
"2021-04-24",3140.7499999999995
"2021-04-25",1994.91
"2021-04-26",61554.93999999996
"2021-04-27",66146.93000000005
"2021-04-28",64744.96000000009
"2021-04-29",60855.199999999946
"2021-04-30",55496.590000000004
"2021-05-01",2229.3700000000003
"2021-05-03",2950.9500000000003
"2021-05-04",60967.43000000007
"2021-05-05",59338.879999999925
"2021-05-06",56790.240000000085
"2021-05-07",59947.429999999935
"2021-05-08",2476.8100000000004
"2021-05-09",1376.3000000000002
"2021-05-10",58055.239999999954
"2021-05-11",59343.009999999944
"2021-05-12",63911.53000000005
"2021-05-13",64239.11999999987
"2021-05-14",60604.4700000001
"2021-05-15",1596.0400000000009
"2021-05-16",2795.9999999999995
"2021-05-17",63973.59040000012
"2021-05-18",62326.55399999999
"2021-05-19",57320.340000000004
"2021-05-20",61417.17000000009
"2021-05-21",57004.429999999964
"2021-05-22",1606.6599999999994
"2021-05-23",1223
"2021-05-24",55313.50799999998
"2021-05-25",57543.54299999999
"2021-05-26",58573.27000000015
"2021-05-27",57786.58800000005
"2021-05-28",49209.13300000007
"2021-05-29",513.5
"2021-05-31",19512.330099999985
"2021-06-01",52822.980000000054
"2021-06-02",56064.213999999934
"2021-06-03",60325.310000000005
"2021-06-04",52862.88200000003
"2021-06-05",608.5999999999999
"2021-06-06",1531.7
"2021-06-07",56275.37799999993
"2021-06-08",59212.129999999954
"2021-06-09",58196.259999999966
"2021-06-10",56649.61200000003
"2021-06-11",55496.48599999993
"2021-06-12",1052.2399999999998
"2021-06-13",1375.65
"2021-06-14",60992.38600000001
"2021-06-15",63960.29900000007
"2021-06-16",64931.2499999999
"2021-06-17",64553.30599999988
"2021-06-18",53805.45200000002
"2021-06-19",1040.57
"2021-06-20",1533.7
"2021-06-21",56390.18999999987
"2021-06-22",55882.52999999993
"2021-06-23",59255.79800000011
"2021-06-24",60293.5460000001
"2021-06-25",53219.49000000006
"2021-06-26",926.51
"2021-06-27",1539.7
"2021-06-28",59415.490000000005
"2021-06-29",59448.33200000004
"2021-06-30",58281.26010000005
"2021-07-01",61256.47000000001
"2021-07-02",59521.43999999997
"2021-07-03",1589.1899999999998
"2021-07-04",1534.6
"2021-07-05",55170.700000000055
"2021-07-06",60196.89830000011
"2021-07-07",56609.51000000009
"2021-07-08",60943.03200000005
"2021-07-09",55870.48400000018
"2021-07-10",1401.22
"2021-07-11",3011.2
"2021-07-12",56340.58299999995
"2021-07-13",58424.15000000011
"2021-07-14",52102.468999999866
"2021-07-15",56796.30699999992
"2021-07-16",50945.270000000026
"2021-07-17",2924.2399999999993
"2021-07-19",57587.63999999989
"2021-07-20",60740.87799999987
"2021-07-21",56506.55999999999
"2021-07-22",55450.640000000014
"2021-07-23",54091.85000000001
"2021-07-24",943.7199999999999
"2021-07-25",1518
"2021-07-26",50699.366600000045
"2021-07-27",56637.634
"2021-07-28",53995.53999999998
"2021-07-29",53877.53000000009
"2021-07-30",48019.94000000005
"2021-07-31",1090.6000000000004
"2021-08-01",3147.76
"2021-08-02",51344.75000000006
"2021-08-03",51699.31800000004
"2021-08-04",50720.92000000002
"2021-08-05",53132.26800000004
"2021-08-06",46011.04300000002
"2021-08-07",874.4000000000001
"2021-08-08",2114.75
"2021-08-09",50756.140000000036
"2021-08-10",52182.82880000008
"2021-08-11",54420.25999999994
"2021-08-12",53402.899999999914
"2021-08-13",47192.60000000005
"2021-08-14",698.68
"2021-08-15",1528.4
"2021-08-16",52828.983600000094
"2021-08-17",55697.339999999895
"2021-08-18",53919.05500000009
"2021-08-19",52361.87009999999
"2021-08-20",47363.68799999994
"2021-08-21",1222.9199999999998
"2021-08-22",1516.4
"2021-08-23",51816.19200000002
"2021-08-24",54734.81300000004
"2021-08-25",56212.01
"2021-08-26",51242.909999999974
"2021-08-27",43594.24600000005
"2021-08-28",144
"2021-08-29",1453.2
"2021-08-30",13629.902000000015
"2021-08-31",52500.19999999997
"2021-09-01",53887.28000000003
"2021-09-02",52948.18
"2021-09-03",42845.368
"2021-09-04",1215.4199999999998
"2021-09-05",4481.5
"2021-09-06",49558.76799999998
"2021-09-07",50417.92200000015
"2021-09-08",53154.66000000009
"2021-09-09",53322.64000000001
"2021-09-10",47907.15999999988
"2021-09-11",1000.9599999999999
"2021-09-12",0
"2021-09-13",49952.67000000003
"2021-09-14",51541.109399999885
"2021-09-15",50242.41200000003
"2021-09-16",47876.90000000006
"2021-09-17",48463.11300000005
"2021-09-18",1393.1599999999999
"2021-09-19",679.5
"2021-09-20",51647.25599999992
"2021-09-21",56331.29
"2021-09-22",52131.282000000036
"2021-09-23",56247.11000000011
"2021-09-24",48831.950000000084
"2021-09-25",2152.5600000000004
"2021-09-26",2909.1
"2021-09-27",50701.82299999992
"2021-09-28",56009.25999999999
"2021-09-29",55477.9299999999
"2021-09-30",55885.080000000016
"2021-10-01",49000.422999999944
"2021-10-02",933.4399999999997
"2021-10-03",1436.3
"2021-10-04",54465.929999999855
"2021-10-05",57166.649999999885
"2021-10-06",53122.59999999984
"2021-10-07",58821.90479999999
"2021-10-08",53061.00999999989
"2021-10-09",1022.47
"2021-10-10",1506.8
"2021-10-11",56547.738999999994
"2021-10-12",55545.55999999993
"2021-10-13",54377.119999999835
"2021-10-14",55162.97999999985
"2021-10-15",51794.33999999977
"2021-10-16",817.8800000000001
"2021-10-17",1515.3000000000002
"2021-10-18",54338.80999999992
"2021-10-19",56340.05999999994
"2021-10-20",56114.51000000001
"2021-10-21",57461.74999999989
"2021-10-22",51601.46199999994
"2021-10-23",971.7200000000001
"2021-10-24",1538.4799999999998
"2021-10-25",56291.13799999995
"2021-10-26",59495.10999999987
"2021-10-27",57834.007999999856
"2021-10-28",57583.03599999994
"2021-10-29",49323.8999999998
"2021-10-30",1028.8600000000001
"2021-10-31",1519.1999999999998
"2021-11-01",55611.522799999795
"2021-11-02",57222.27999999985
"2021-11-03",57587.09999999983
"2021-11-04",55295.439999999995
"2021-11-05",55508.641999999956
"2021-11-06",657.5
"2021-11-07",18.84
"2021-11-08",58867.983999999946
"2021-11-09",58030.73999999985
"2021-11-10",60222.51999999993
"2021-11-11",61400.39999999999
"2021-11-12",56437.24739999987
